Name,Borough,Area,Full_Address,Postcode,Opening_Times,Phone,Email,Website,Requirements,Cost,Services,Contact_Person,Notes,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Opening_Time,Closing_Time,Time_Notes,Service_FoodBank,Service_CommunityMeals,Service_Delivery,Service_Clothing,Service_Utilities,Service_Furniture,Access_Type,Latitude,Longitude,Has_Complete_Info,Last_Updated,Coordinate_Source,,
Jesuscina Foundation Hub,Manchester,Belle Vue,"450 Hyde Road, Coop Academy Belle Vue",M12 4BA,Monday's 10am till 12pm,07459 049 021,jesuscina. foundation@yahoo.com,https://jesuscinafoundation.co.uk,There is a request of a donation of A £4.00 per person,£4.00 donation per person,Food support,,,Y,N,N,N,N,N,N,,,Monday's 10am till 12pm,N,N,N,N,N,N,Unknown,53.4639599,-2.1891933,Y,01/09/2025,simplified_address,,
The Grange Community Resource Centre,Manchester,Clayton,Pilgrim Drive,M11 3TQ,Thursday 11am - 12noon,0161 230 1420,info@4ct.org.uk,https://www.4ct.org.uk,Proof of address required,£3.00 for Food Pantry Shop,Food Pantry Shop with fresh produce chilled frozen and cupboard items,,CLOSED UNTIL Mid SEPT,N,N,N,Y,N,N,N,11:00,12:00,Thursday 11am - 12noon,N,N,N,N,N,N,Unknown,53.4795923,-2.2000937,Y,01/09/2025,original,,
World Harvest Christian Centre Foodbank,Manchester,Clayton,21 Seymour South,M11 4PG,12;30pm - 2:30pm Every Friday,1613014230,admin@worldharvestman.com,https://www.worldharvestman.com,Referral required,Free,Foodbank,Emmanuel Ajoku,,N,N,N,N,Y,N,N,42:00:00,14:30,12;30pm - 2:30pm Every Friday,Y,N,N,N,N,N,Referral,53.4835407,-2.1710832,Y,01/09/2025,original,,
The Oasis Centre,Manchester,Gorton,929 Hyde Road,M18 7FB,Monday - Friday 9.30am -2pm; Breakfast 9.30am to 10.30am; Lunch 12.00pm to 12.30pm,,dushy. caldera@oasisgorton.org,http://oasisgorton.org/needhelp/,Anyone in need of a food parcel must see someone from crisis support team who will assess their need,Free,Emergency food provision and free cafÃ©,,,Y,Y,Y,Y,Y,N,N,10:30,14:00,Monday - Friday 9.30am -2pm; Breakfast 9.30am to 10.30am; Lunch 12.00pm to 12.30pm,Y,N,N,N,N,N,Unknown,53.4608078,-2.1706844,Y,01/09/2025,original,,
Gorton Community Grocers,Manchester,Gorton,"Gorton Central, Highmead Street",M18 8PE,Thursdays 1 A  4pm,0161 222 3633,info@hmhc.co.uk,https://www.hmhc.co.uk,Appointment required,£3 for shop £15 in value of food,Community Grocery; 6-month membership with 121 support,,,N,N,N,Y,N,N,N,01:00,16:00,Thursdays 1 A  4pm,N,N,N,N,N,N,Unknown,53.4639538,-2.1676566,Y,01/09/2025,simplified_address,,
Across Ummah CIC,Manchester,Gorton,18 Highmead Street,M18 8PE,Fridays 10 TO 12,7747129530,admin@acrossummah.com,https://www.acrossummah.com,Appointment required,£2.50 per visit,Food shop; Emergency food packs for anyone in food crises,,,N,N,N,N,Y,N,N,,,Fridays 10 TO 12,Y,N,N,N,N,N,Unknown,53.4639538,-2.1676566,Y,01/09/2025,original,,
Bread and Butter Thing,Manchester,Gorton,"Gorton Community Hub, Garrett Way",M18 7FB,,,https://breadandbutterthing. org/,Membershippantry,Registration required,Please make contact for further details,,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4626795,-2.1733894,N,01/09/2025,simplified_address,,
Restore Foodbank,Manchester,Gorton,"c/o Arise & Shine Christian Ministries, 582 Hyde Road",M18 7EE,Fri 12 A  2pm,0161 223 3202 07960 330001,info@ascministries.net,https://www.facebook.com/AriseShineChristianMinistries/,Support worker who is referring needs to contact ASCM 1st; Proof of benefits,Free,Foodbank,,,N,N,N,N,Y,N,N,12:00,14:00,Fri 12 A  2pm,Y,N,N,N,N,N,Referral,53.4610475,-2.172367,Y,01/09/2025,simplified_address,,
North Manchester Community Kindness (NMCK) Food Pantry,Manchester,Newton Heath,"Heathfield Hall, Heathfield St",M40 1LF,"Thurs 3.30-5pm; Fri 9,30-11am (free refreshments and toast/crumpets available during summer holidays only open Thurs 3-5.30pm)",07824 808132,julesmariesamson@googlemail.com,https://www.facebook.com/groups/1118928768872191/,Food packs are A £4- families with 6+ members can double up,£4 per food pack; Extra packs £4 each for hygiene cleaning or kids snacks; Pet packs £4 each,Food Pantry,,,N,N,N,Y,Y,N,N,10:30,17:00,"Thurs 3.30-5pm; Fri 9,30-11am (free refreshments and toast/crumpets available during summer holidays only open Thurs 3-5.30pm)",N,N,N,N,N,N,Unknown,53.4994967,-2.1817119,Y,01/09/2025,simplified_address,,
The Bread-and-Butter Thing Food Hub,Manchester,Newton Heath,"Newton Heath Library, Old Church St",M40 2JF,12pm every Saturday,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Text   to sign up with full name postcode and hub name,"£5 individual, £8.50 family, £17 large family (vegetarian options available)",Food Hub; Text ordering system; Healthy Start Vouchers accepted,,,N,N,N,N,N,Y,N,,,12pm every Saturday,N,N,N,N,N,N,Unknown,53.5013584,-2.1818584,Y,01/09/2025,postcode,,
Salvation Army Openshaw,Manchester,Openshaw,"Lime Square Shopping Centre, (Opposite Morrisons)",M11 1DA,Food bank Thursdays 1-2.30 pm,0161 371 5044,openshaw@salvationarmy.org.uk,http://www.salvationarmy.org.uk/Openshaw,Appointment required,Free,Food bank; Church located above charity shop,,,N,N,N,Y,N,N,N,01:00,02:00,Food bank Thursdays 1-2.30 pm,Y,N,N,N,N,N,Referral,53.4626795,-2.1733894,Y,01/09/2025,simplified_address,,
Roundhouse Pantry,Manchester,Openshaw,"Manchester Settlement, The New Roundhouse, 1328 -1330, Ashton Old Road",M11 1JG,Thursday 2-4 afternoon; Currently has waiting list,0161 974 1300,,https://www.manchestersettlement.org.uk,A £5 single/couple then A £2.50 for each additional person; Complete registration form for waiting list,£5-£20 depending on household size,Food Pantry providing food for 4 hot meals per week depending on stock availability,,WAITING LIST FOR NEW MEMBERS,N,N,N,Y,N,N,N,02:00,04:00,Thursday 2-4 afternoon; Currently has waiting list,N,Y,N,N,N,N,Unknown,53.4728554,-2.1634313,Y,01/09/2025,simplified_address,,
The River Manchester,Manchester,Openshaw,1300 Ashton Old Road,M11 1JG,Emergency food Friday for domestic violence; Food club Monday A Saturday 1 A  4pm,0161 371 5522,referrals. therivermanchester@gmail.com,http://www.therivermanchester.org.uk,Referral or assessment for emergency food; Anyone can use food club,£5 membership and £5 for 15 points or £10 for 30 points,Emergency food parcels for domestic violence; Food club for cost of living help,,,Y,N,N,N,Y,Y,N,01:00,16:00,Emergency food Friday for domestic violence; Food club Monday A Saturday 1 A  4pm,Y,N,N,N,N,N,Referral,53.4726907,-2.1627663,Y,01/09/2025,original,,
Cost of living household support,Manchester,Openshaw,"Manchester settlement, 2nd floor, 1328-1330, Ashton Old Rd",M11 1JG,Friday's 4 to 6 pm,7438283306,ceebeegoldevents@aol.com,https://www.ceebeegoldfoundation.org,Evidence required referrer note; Delivery service available,Donations welcome (not required),Cost of living support,Bola Olayemi,,N,N,N,N,Y,N,N,,,Friday's 4 to 6 pm,N,N,N,N,N,N,Referral,53.4728554,-2.1634313,Y,01/09/2025,simplified_address,,
Manchester Central Foodbank,Manchester,Openshaw,"St ClÃ©ments Church, Ashton Old Road",M11 1HF,Tue 14.30 A  16.30,7928412339,info@manchestercentral.foodbank.org.uk,https://manchestercentral.foodbank.org.uk/locations/,Food Voucher needed,Free,Foodbank,,,N,Y,N,N,N,N,N,10:30,16:00,Tue 14.30 A  16.30,Y,N,N,N,N,N,Referral,53.472809,-2.1603961,Y,01/09/2025,simplified_address,,
Ivy St Community Pantry,Bolton,Bolton,"Ivy Street, Bolton",,Every Thursday 12pm - 2pm,07903 671346,,,Registration at first visit,£3 per visit for £10-£15 worth of goods,Community Pantry,,Ivy Street Community Pantry Horwich Branch,N,N,N,Y,N,N,N,12:00,14:00,Every Thursday 12pm - 2pm,N,N,N,N,N,N,Unknown,53.5665773,-2.448203,Y,01/09/2025,original,,
The Well Being Centre,Bolton,Bolton,"Bridge Hall Lane, Bolton",,Wednesdays 9am - 11.30am,01204 669200,,,Appointment required,Free,Foodbank; Welfare support,,,N,N,Y,N,N,N,N,09:00,11:00,Wednesdays 9am - 11.30am,Y,N,N,N,N,N,Unknown,53.5588294,-2.3923878,Y,01/09/2025,original,,
Breightmet Methodist Church,Bolton,Breightmet,"Hall i the wood Lane, Bolton",BL2 6DF,Wednesdays 2pm - 4pm,01204 301103,,,No referral required,Free,Community Food Project,,,N,N,Y,N,N,N,N,14:00,16:00,Wednesdays 2pm - 4pm,N,N,N,N,N,N,Both,53.5807766,-2.4009258,Y,01/09/2025,postcode,,
The Larder Community Hub,Bolton,Farnworth,"King Street, Farnworth",BL4 9AA,Wednesdays 6pm - 7pm; Saturdays 10am - 12pm,01204 704418,thelarderfarnworth@gmail.com,,No referral required,Free,Community Food Project,,,N,N,Y,N,N,Y,N,18:00,19:00,Wednesdays 6pm - 7pm; Saturdays 10am - 12pm,N,N,N,N,N,N,Both,53.5478623,-2.3999449,Y,01/09/2025,original,,
Farnworth Community Church,Bolton,Farnworth,"Egerton Street, Farnworth",BL4 7BP,Tuesdays 1pm - 3pm,07939 255669,,,No referral required,Free,Community Food Project; Hot meals,,,N,Y,N,N,N,N,N,13:00,15:00,Tuesdays 1pm - 3pm,N,Y,N,N,N,N,Both,53.5522062,-2.4029185,Y,01/09/2025,original,,
Little Lever Community Centre,Bolton,Little Lever,"Church Street, Little Lever",BL3 1AU,Mondays 12pm - 2pm,07946 692093,,,No referral required,Free,Community Food Project,,,Y,N,N,N,N,N,N,12:00,14:00,Mondays 12pm - 2pm,N,N,N,N,N,N,Both,53.5626921,-2.3734182,Y,01/09/2025,original,,
Horwich Foodbank,Bolton,Horwich,"Trinity Methodist Church, Chorley New Road",BL6 5QS,Tuesdays 10am - 11am,01204 695937,,,Referral required,Free,Foodbank,,,N,Y,N,N,N,N,N,10:00,11:00,Tuesdays 10am - 11am,Y,N,N,N,N,N,Referral,53.5992146,-2.5515319,Y,01/09/2025,simplified_address,,
Moses Gate Community Centre,Bolton,Farnworth,"Moses Gate, Farnworth",BL4 9RX,Thursdays 10am - 12pm,01204 794289,,,No referral required,Free,Community Food Project,,,N,N,N,Y,N,N,N,10:00,12:00,Thursdays 10am - 12pm,N,N,N,N,N,N,Both,53.5562667,-2.4015572,Y,01/09/2025,original,,
Trinity Church Westhoughton Food Pantry,Bolton,Westhoughton,"Market Street, Westhoughton",BL5 3AZ,Saturdays 10am - 12pm,01942 790777,,,Registration at first visit,£3 per visit for £10-£15 worth of goods,Community Pantry,,,N,N,N,N,N,Y,N,10:00,12:00,Saturdays 10am - 12pm,N,N,N,N,N,N,Unknown,53.5489341,-2.5228598,Y,01/09/2025,original,,
Southway Housing - Westcroft Quids In,Manchester,Burnage,"Westcroft Community Centre, Westcroft Road",M20 6EF,Wednesday evenings 5:00pm - 6:30pm,0161 448 4200,quidsin@southwayhousing.co.uk,http://www.southwayhousing.co.uk/quidsin,"Available for households in the post code area, Southway tenants are prioritised",Tenants: £4 weekly + £5 annual; non-tenants: £6 weekly + £10 annual,Community Food Club; A £15-20 worth of food,,,N,N,Y,N,N,N,N,17:00,18:30,Wednesday evenings 5:00pm - 6:30pm,N,N,N,N,N,N,Unknown,53.4246715,-2.2142753,Y,01/09/2025,original,,
Southway Housing - Burnage East Quids in Club,Manchester,Burnage,"Burnage Sure Start Centre, Broadhill Rd",M19 1AG,,0161 448 4200,quidsin@southwayhousing.co.uk,http://www.southwayhousing.co.uk/quidsin,"Available for households in the post code area, Southway tenants are prioritised",Tenants: £4 weekly + £5 annual; non-tenants: £6 weekly + £10 annual,Community Food Club; A £15 worth of food,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4408506,-2.1838402,Y,01/09/2025,simplified_address,,
Burnage Foodbank (Kingsway),Manchester,Burnage,"St Nicholas Parish Hall, St Nicholas Church, 408 Kingsway",M19 1PL,Tuesday 12.30 A  2.30pm,07796 448 205,info@burnage.foodbank.org.uk,http://burnage.foodbank.org.uk/,Referral required,Free,Foodbank; Special dietary needs accommodation,,,N,Y,N,N,N,N,N,10:30,02:00,Tuesday 12.30 A  2.30pm,Y,N,N,N,N,N,Referral,53.4200198,-2.2144101,Y,01/09/2025,postcode,,
Burnage Foodbank (Burnage Lane),Manchester,Burnage,"St Bernard's Parish Rooms, St Bernard's Church, Burnage Lane",M19 1DR,Friday 3pm - 5pm,07796 448 205,info@burnage.foodbank.org.uk,http://burnage.foodbank.org.uk,Referral required,Free,Foodbank; Special dietary needs accommodation,,,N,N,N,N,Y,N,N,15:00,17:00,Friday 3pm - 5pm,Y,N,N,N,N,N,Referral,53.4279351,-2.2024249,Y,01/09/2025,simplified_address,,
Sheikh Nazim Helping Hands Charity/Foodbank,Manchester,Chorlton on Medlock,"The Pankhurst Centre, 60-62 Nelson St",M13 9WP,,,,Referralformrequired,Free,Free,,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4631209,-2.2274781,N,01/09/2025,simplified_address,,
Fallowfield & Withington Trussell Trust,Manchester,Fallowfield,"The Place (Fallowfield Library), Platt Lane",M14 7FB,Wed 17:00 - 18:15,07411 077654,info@fallowfieldwithington.foodbank.org.uk,http://fallowfieldwithington.foodbank.org.uk,Food Voucher needed,Free,Foodbank,,,N,N,Y,N,N,N,N,17:00,18:15,Wed 17:00 - 18:15,Y,N,N,N,N,N,Referral,53.4464232,-2.2384547,Y,01/09/2025,simplified_address,,
Fallowfield Community Grocer,Manchester,Fallowfield,"Fallowfield Library, The Place at Platt Lane",M14 7FB,Fridays 10 till 12; Saturdays 11 till 1,0161 227 3744,,https://theplacefallowfield.co.uk/,No referral required,£3 per visit,Community Grocer; Hygiene bank also A £3,,,N,N,N,N,Y,Y,N,,,Fridays 10 till 12; Saturdays 11 till 1,N,N,N,N,N,N,Both,53.4464232,-2.2384547,Y,01/09/2025,simplified_address,,
Fallowfield & Withington Trussell Trust (Holy Innocents),Manchester,Fallowfield,2 Wilbraham Road,M14 6JZ,Sat 10 - 12,07411 077654,info@fallowfieldwithington.foodbank.org.uk,http://fallowfieldwithington.foodbank.org.uk,Food Voucher needed,Free,Foodbank,,,N,N,N,N,N,Y,N,10:00,12:00,Sat 10 - 12,Y,N,N,N,N,N,Referral,53.4430221,-2.2203499,Y,01/09/2025,original,,
Fallowfield & Withington Trussell Trust (Union Chapel),Manchester,Fallowfield,2b Wellington Road,M14 6EQ,Fri 12:00 A  2pm,07411 077654,info@fallowfieldwithington.foodbank.org.uk,http://fallowfieldwithington.foodbank.org.uk,Food Voucher needed,Free,Foodbank,,,N,N,N,N,Y,N,N,12:00,14:00,Fri 12:00 A  2pm,Y,N,N,N,N,N,Referral,53.4423848,-2.2231482,Y,01/09/2025,original,,
Manchester South Central Trussell Trust,Manchester,Hulme,"Ascension Church Hulme, 282 Stretford Road",M15 5TQ,Friday 1 A  3pm,0161 226 3413 07561 680009,info@manchestersouthcentral.foodbank.org.uk,https://manchestersouthcentral.foodbank.org.uk/locations/,Everyone who comes needs a valid foodbank voucher,Free,Foodbank,,,N,N,N,N,Y,N,N,01:00,15:00,Friday 1 A  3pm,Y,N,N,N,N,N,Referral,53.4680344,-2.2457149,Y,01/09/2025,simplified_address,,
Claremont Community Grocer,Manchester,Hulme,2 Jarvis Road,M15 5FS,10am-3pm M-F,0161 226 6334,,https://www.accg.org.uk/,Anyone in need can use - no evidence required,£5 charge for 15 items,Community Grocer,,,N,N,N,N,N,N,N,10:00,15:00,10am-3pm M-F,N,N,N,N,N,N,Unknown,53.4651868,-2.2500488,Y,01/09/2025,original,,
Bread and Butter Thing (Workshop),Manchester,Hulme,"The Work Shop, Alexandra Road",M16 7WD,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4559193,-2.2527905,Y,01/09/2025,original,,
Bread and Butter Thing (Ascension),Manchester,Hulme,"Ascension Church Hulme, 282 Stretford Road",M15 5TQ,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4680344,-2.2457149,Y,01/09/2025,simplified_address,,
Highway Hope,Manchester,Levenshulme,1 Matthews Lane,M12 4WQ,Tuesday & Thursday 11am A  4pm, 07931699897 07723447200,,,Registration required,Free,,,,N,Y,N,Y,N,N,N,11:00,16:00,Tuesday & Thursday 11am A  4pm,N,N,N,N,N,N,Unknown,53.4494086,-2.1911088,Y,01/09/2025,original,,
The Inspire Centre FoodCycle,Manchester,Levenshulme,747 Stockport Rd,M19 3AR,Thursday's 7pm,,levenshulme@foodcycle.org.uk,https://foodcycle.org.uk/location/foodcycle-levenshulme/,Family Friendly,Free,Hot meals only,,,N,N,N,Y,N,N,N,,,Thursday's 7pm,N,Y,N,N,N,N,Unknown,53.4479393,-2.1914379,Y,01/09/2025,original,,
United Apostolic Church of Christ - Citadel of Praise,Manchester,Levenshulme,703 Stockport Road,M12 4QN,Saturdays 1pm A  3pm,7828107230,,Instagram:@uaccoutreach,On Hold,Free,,,,N,N,N,N,N,Y,N,13:00,15:00,Saturdays 1pm A  3pm,N,N,N,N,N,N,Unknown,53.4490914,-2.1917939,Y,01/09/2025,original,,
Bread and Butter Thing (Inspire Centre),Manchester,Levenshulme,"The Inspire Centre, 747 Stockport Rd",M19 3AR,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4479393,-2.1914379,Y,01/09/2025,original,,
Across Ummah CIC (Arcadia),Manchester,Levenshulme,Arcadia Library & Leisure Centre,M19 3PH,Fridays 1 to 3pm,7747129530,admin@acrossummah.com,https://www.acrossummah.com,Appointment required,£2.50 per visit,Food shop; Emergency food packs for anyone in food crises,,,N,N,N,N,Y,N,N,,,Fridays 1 to 3pm,Y,N,N,N,N,N,Unknown,53.4461651,-2.192153,Y,01/09/2025,original,,
Authentic City Church Foodbank,Manchester,Longsight,"Authentic City Church, Crowcroft Road",M12 4QD,Friday 11.30am A  1.30pm,7788825996,,https://www.authenticcitychurch.uk,Referral required,Free,Foodbank,,,N,N,N,N,Y,N,N,10:30,01:00,Friday 11.30am A  1.30pm,Y,N,N,N,N,N,Unknown,53.4514364,-2.1948833,Y,01/09/2025,original,,
Bread and Butter Thing (St Joseph's),Manchester,Longsight,"St Joseph's RC Primary School, Richmond Grove",M13 0BT,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4596149,-2.2088663,Y,01/09/2025,original,,
Better We CIC,Manchester,Longsight,49/D Beresford Road,M13 0GT,Saturday 3 - 4pm pick up,07411 356121,betterwe2021@gmail.com,"https://www.betterwe.co.uk,https://www.facebook.com/betterwe.awareness",Registration required,Free,Food support,,,N,N,N,N,N,Y,N,03:00,16:00,Saturday 3 - 4pm pick up,N,N,N,N,N,N,Unknown,53.4515811,-2.2026729,Y,01/09/2025,original,,
Cancer Care Diaspora Support Group,Manchester,Longsight,"Transformation Community Resource Centre, First Floor 11 Richmond Grove",M13 0LN,Tuesdays 10:30am-12pm,7885732781,info@cancercarediaspora.org,https://cancercarediaspora.org,Registration required,Free,Support group with food support,,,N,Y,N,N,N,N,N,10:30,12:00,Tuesdays 10:30am-12pm,N,N,N,N,N,N,Unknown,53.4658937,-2.2131827,Y,01/09/2025,simplified_address,,
Bags of Love,Manchester,Longsight,"Church of God 7th Day, KSS Community Hub, Slade Lane",M13 0GL,Thursdays 11.30 - 1.30pm; Baby Bank on Saturday 2pm - 4pm,7359143615,jaimea. ward@cog7thday.org.uk,,A voluntary donation of between A £1 -A £3,£1-£3 voluntary donation,Food support; Baby Bank,,,N,N,N,Y,N,Y,N,10:30,01:00,Thursdays 11.30 - 1.30pm; Baby Bank on Saturday 2pm - 4pm,N,N,N,N,N,N,Unknown,53.454609,-2.198008,Y,01/09/2025,simplified_address,,
422 Pantry,Manchester,Longsight,"422 Community Hub, Stockport Road",M12 4EX,Wednesday morning (timeslot given),0161 850 3277,hello@422manchester.org,"https://mvuk.org/422pantry,https://www.facebook.com/422manchester",Referrals taken from agencies working with people experiencing food poverty,£1 membership contribution each week,Community pantry,,,N,N,Y,N,N,N,N,,,Wednesday morning (timeslot given),N,N,N,N,N,N,Referral,53.4602033,-2.2055347,Y,01/09/2025,original,,
Across Ummah CIC (422 Hub),Manchester,Longsight,"422 Community Hub, 422 Stockport Road",M12 2EX,,7747129530,admin@acrossummah.com,https://www.acrossummah.com,Appointment required,£2.50 per visit,Food shop; Emergency food packs for anyone in food crises,,,N,N,N,N,N,N,N,,,,Y,N,N,N,N,N,Unknown,53.4602033,-2.2055347,Y,01/09/2025,original,,
Bread and Butter Thing (Moss Lane),Manchester,Moss side,300 Moss Lane East,M14 4SS,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4578989,-2.2404783,Y,01/09/2025,original,,
Chrysalis Family Centre,Manchester,Moss side,4-6 Westerling Way,M16 7EA,Monday A  Friday 10.00am - 5.00pm,0161 226 8090,chrysalismanchester@gmail.com,https://chrysalismanchester.org,No evidence required to access the food bank,£2.00 to cover delivery charge from food depot,Food bank; Delivery to people with disabilities who live locally,,,Y,Y,Y,Y,Y,N,N,00:00,05:00,Monday A  Friday 10.00am - 5.00pm,Y,N,Y,N,N,N,Unknown,53.4552073,-2.2550377,Y,01/09/2025,original,,
Brotherhood of the Cross and Star,Manchester,Moss side,151 Raby Street,M14 4ST,Saturday 3pm - 4:30,07389 034159 ( ),charity@bcs-uk.org,BCSUnitedKingdom(Facebook),No membership fee,£2 per visit,Food shop,,,N,N,N,N,N,Y,N,15:00,04:30,Saturday 3pm - 4:30,N,N,N,N,N,N,Unknown,53.457784,-2.2425349,Y,01/09/2025,original,,
Anson Community Grocer,Manchester,Rusholme,"Anson Community House, 38 Meldon Road",M13 0TR,Thursday's 12-6pm, 07539 268269,sammy. minshull@yahoo.co.uk,,Membership scheme,£3 for a shop,Community Grocer; Also toiletries & household essentials,,,N,N,N,Y,N,N,N,12:00,18:00,Thursday's 12-6pm,N,N,N,N,N,Y,Unknown,53.4511208,-2.2029202,Y,01/09/2025,simplified_address,,
Manchester South Central Trussell Trust,Manchester,Whalley Range,"Whalley Range Methodist Church, 51 Withington Road",M16 7EX,Monday 1 -3pm,0161 226 3413 07561 680009,info@manchestersouthcentral.foodbank.org.uk,https://manchestersouthcentral.foodbank.org.uk/locations/,Voucher required from foodbank partner,Free,Foodbank,,,Y,N,N,N,N,N,N,01:00,15:00,Monday 1 -3pm,Y,N,N,N,N,N,Referral,53.456174,-2.2581823,Y,01/09/2025,original,,
Reach out to the Community,Manchester,Chorlton,,,Monday A  Friday 10 - 4pm,,reachoutcommunity@yahoo.com,,Referrals from professionals only,Free,Emergency food parcels only,,South Manchester area,Y,Y,Y,Y,Y,N,N,10:00,16:00,Monday A  Friday 10 - 4pm,Y,N,N,N,N,N,Referral,53.4404341,-2.2844155,Y,01/09/2025,area,,
Chorlton and Didsbury Trussell Trust,Manchester,Chorlton,"St Barnabus, Hurstville Road, off Hardy Lane",M21 8DH,Fri. 12:30 - 14:00,,info@chorltondidsbury.foodbank.org.uk,http://chorltondidsbury.foodbank.org.uk/,Voucher required from foodbank partner,Free,Foodbank,,,N,N,N,N,Y,N,N,12:30,14:00,Fri. 12:30 - 14:00,Y,N,N,N,N,N,Referral,53.43175,-2.2776683,Y,01/09/2025,simplified_address,,
Southway Housing - Brookfield Quids in Club,Manchester,Chorlton,"Brookfield House (white building in Chorlton Park A  Nell Lane Entrance), Nell Lane",M21 7UD,,0161 448 4200,quidsin@southwayhousing.co.uk,http://www.southwayhousing.co.uk/quidsin,"Available for households in post code area, Southway tenants prioritised",Tenants: £4 weekly + £5 annual; non-tenants: £6 weekly + £10 annual,Food club; A £15 worth of food,,Waiting list,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4370709,-2.2670219,Y,01/09/2025,simplified_address,,
The Loreto Pantry,Manchester,Chorlton,"Loreto High School, Nell Lane",M21 7SW,All day term time only,0161 882 3147,grahamr@loretochorlton.manchester.sch.uk,,Child must be attending Loreto High School,Membership fees apply,School pantry,Becky Graham,,N,N,N,N,N,N,N,,,All day term time only,N,N,N,N,N,N,Unknown,53.4345707,-2.261057,Y,01/09/2025,original,,
Southway Housing - Merseybank Quids in Club,Manchester,Chorlton water park,"Pop Up Shop, 42 Merseybank Avenue",M21 7NN,,0161 448 4200,quidsin@southwayhousing.co.uk,http://www.southwayhousing.co.uk/quidsin,"Households claiming Housing Benefit, Universal Credit or Pension Credit; Southway tenants prioritised",Tenants: £4 weekly + £5 annual; non-tenants: £6 weekly + £10 annual,Food club; A £15 worth of food,,Waiting list,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4227599,-2.26301,Y,01/09/2025,postcode,,
Chorlton and Didsbury Trussell Trust,Manchester,West Didsbury,"Christ Church Hall, Darley Avenue",M20 2ZD,Tue 12:00 - 15:00 Delivery only; Wed 11 A  12.30,7938191038,info@chorltondidsbury.foodbank.org.uk,http://chorltondidsbury.foodbank.org.uk/,Voucher required from foodbank partner,Free,Foodbank; Delivery for large families and mobility issues,,,N,Y,Y,N,N,N,N,12:00,15:00,Tue 12:00 - 15:00 Delivery only; Wed 11 A  12.30,Y,N,Y,N,N,N,Referral,53.4229278,-2.2555329,Y,01/09/2025,simplified_address,,
MIC & Didsbury Mosque Community foodbank,Manchester,West Didsbury,271 Burton Rd,M2O 2WA,"Monday's, Wednesday's and Friday's 10am -3pm",07464 602434,"foodbank@miconline.org.uk, t. pook@miconline.org.uk",,"Needs referral from community organisation, MCC, NHS or those who know definite need",Free,Foodbank; Delivery service available in Didsbury/Withington/Old Moat/Chorlton/Chorlton park,Tracey Pook,,Y,N,Y,N,Y,N,N,10:00,15:00,"Monday's, Wednesday's and Friday's 10am -3pm",Y,N,Y,N,N,N,Referral,53.4227529,-2.2467259,Y,01/09/2025,original,,
Bread and Butter Thing,Manchester,West Didsbury,"St Ambrose Primary School, Princess Rd",M21 7QA,,,hello@breadandbutterthing.org,https://breadandbutterthing.org/,Membership pantry,Free,Please contact for further details,,,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4225673,-2.2588204,Y,01/09/2025,original,,
Southway Housing - Old Moat Quids in Club,Manchester,Withington,"Old Moat Children's Centre, Old Moat Lane, Old Moat",M20 1DE,,0161 448 4200,quidsin@southwayhousing.co.uk,http://www.southwayhousing.co.uk/quidsin,"Households claiming Housing Benefit, Universal Credit or Pension Credit; Southway tenants prioritised",Tenants: £4 weekly + £5 annual; non-tenants: £6 weekly + £10 annual,Food club; A £15 worth of food,,Waiting list,N,N,N,N,N,N,N,,,,N,N,N,N,N,N,Unknown,53.4455728,-2.2606932,Y,01/09/2025,simplified_address,,
Fallowfield & Withington Trussell Trust,Manchester,Withington,"St Cuthberts, Palatine Road",M20 3LH,Tuesi 12 A  2pm,07411 077654,info@fallowfieldwithington.foodbank.org.uk,http://fallowfieldwithington.foodbank.org.uk/,Voucher required from foodbank partner,Free,Foodbank,,,N,Y,N,N,N,N,N,12:00,14:00,Tuesi 12 A  2pm,Y,N,N,N,N,N,Referral,53.4324299,-2.229832,Y,01/09/2025,simplified_address,,
